road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Elizabeth Drive Eastbound,"-33.87476,150.83832",07:30,0.0,71,71,1194.0
Elizabeth Drive Eastbound,"-33.877,150.84343",07:30,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",07:45,0.0,49,49,1194.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",07:45,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",07:45,0.0,64,64,1194.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",07:45,0.0,79,79,1194.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",07:45,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",07:45,0.0,73,73,1194.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",07:45,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",07:45,0.0,68,68,1194.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",07:45,0.0,62,62,1194.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",07:45,0.0,67,67,1194.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",07:45,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",07:45,0.0,71,71,1194.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",07:45,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",07:45,0.0,71,71,1194.0
Elizabeth Drive Eastbound,"-33.877,150.84343",07:45,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",08:00,0.0,49,49,1319.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",08:00,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",08:00,42.1875,37,64,1319.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",08:00,0.0,79,79,1319.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",08:00,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",08:00,0.0,73,73,1319.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",08:00,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",08:00,0.0,67,67,1319.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",08:00,43.548387096774185,35,62,1319.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",08:00,0.0,67,67,1319.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",08:00,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",08:00,0.0,71,71,1319.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",08:00,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",08:00,0.0,71,71,1319.0
Elizabeth Drive Eastbound,"-33.877,150.84343",08:00,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",08:15,0.0,49,49,1319.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",08:15,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",08:15,0.0,65,65,1319.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",08:15,0.0,79,79,1319.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",08:15,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",08:15,0.0,73,73,1319.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",08:15,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",08:15,0.0,67,67,1319.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",08:15,0.0,62,62,1319.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",08:15,0.0,67,67,1319.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",08:15,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",08:15,0.0,71,71,1319.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",08:15,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",08:15,0.0,71,71,1319.0
Elizabeth Drive Eastbound,"-33.877,150.84343",08:15,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",08:30,0.0,49,49,1319.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",08:30,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",08:30,23.4375,49,64,1319.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",08:30,0.0,79,79,1319.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",08:30,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",08:30,0.0,73,73,1319.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",08:30,0.0,75,75,1319.0
