road,point
Eastern distributor northbound,"-33.8667,151.21521"
Eastern distributor northbound,"-33.86643,151.2146"
Eastern distributor northbound,"-33.86638,151.21451"
Eastern distributor northbound,"-33.86628,151.21432"
Eastern distributor northbound,"-33.86613,151.21405"
Eastern distributor northbound,"-33.86594,151.21377"
western Distributor Eastbound,"-33.87049,151.19005"
western Distributor Eastbound,"-33.87065,151.19042"
western Distributor Eastbound,"-33.87071,151.19056"
western Distributor Eastbound,"-33.8708,151.19082"
western Distributor Eastbound,"-33.87085,151.19104"
western Distributor Eastbound,"-33.87087,151.19127"
western Distributor Eastbound,"-33.87088,151.19147"
western Distributor Eastbound,"-33.87089,151.19157"
western Distributor Eastbound,"-33.87094,151.1919"
western Distributor Eastbound,"-33.87098,151.19205"
western Distributor Eastbound,"-33.87113,151.19246"
western Distributor Eastbound,"-33.87126,151.19273"
western Distributor Eastbound,"-33.87144,151.19302"
western Distributor Eastbound,"-33.8716,151.19324"
western Distributor Eastbound,"-33.8718,151.19344"
western Distributor Eastbound,"-33.87196,151.19357"
western Distributor Eastbound,"-33.87224,151.19377"
western Distributor Eastbound,"-33.87232,151.19383"
western Distributor Eastbound,"-33.87234,151.19385"
western Distributor Eastbound,"-33.87245,151.19392"
western Distributor Eastbound,"-33.87253,151.19398"
western Distributor Eastbound,"-33.87326,151.1945"
western Distributor Eastbound,"-33.87339,151.1946"
western Distributor Eastbound,"-33.87404,151.19509"
western Distributor Eastbound,"-33.8743,151.19527"
western Distributor Eastbound,"-33.87452,151.19546"
western Distributor Eastbound,"-33.87461,151.19557"
western Distributor Eastbound,"-33.87465,151.19563"
western Distributor Eastbound,"-33.87474,151.19577"
western Distributor Eastbound,"-33.87483,151.19599"
western Distributor Eastbound,"-33.87488,151.19621"
western Distributor Eastbound,"-33.87491,151.19647"
western Distributor Eastbound,"-33.87491,151.19656"
western Distributor Eastbound,"-33.87491,151.19668"
western Distributor Eastbound,"-33.87487,151.19688"
western Distributor Eastbound,"-33.87482,151.19705"
western Distributor Eastbound,"-33.87458,151.19774"
western Distributor Eastbound,"-33.87456,151.1978"
western Distributor Eastbound,"-33.87453,151.19788"
western Distributor Eastbound,"-33.87448,151.19801"
western Distributor Eastbound,"-33.87437,151.19827"
western Distributor Eastbound,"-33.87433,151.1984"
western Distributor Eastbound,"-33.8743,151.19848"
western Distributor Eastbound,"-33.87422,151.19875"
western Distributor Eastbound,"-33.87387,151.20002"
western Distributor Eastbound,"-33.87381,151.20022"
western Distributor Eastbound,"-33.87377,151.20037"
western Distributor Eastbound,"-33.87375,151.20043"
western Distributor Eastbound,"-33.87361,151.20095"
western Distributor Eastbound,"-33.87346,151.20133"
western Distributor Eastbound,"-33.87332,151.20167"
western Distributor Eastbound,"-33.87321,151.20187"
western Distributor Eastbound,"-33.87313,151.202"
western Distributor Eastbound,"-33.87307,151.20208"
western Distributor Eastbound,"-33.873,151.20217"
western Distributor Eastbound,"-33.87298,151.20221"
western Distributor Eastbound,"-33.87294,151.20226"
western Distributor Eastbound,"-33.87293,151.20228"
western Distributor Eastbound,"-33.87292,151.20229"
western Distributor Eastbound,"-33.87278,151.2024"
western Distributor Eastbound,"-33.8726,151.20251"
western Distributor Eastbound,"-33.87238,151.20262"
western Distributor Eastbound,"-33.87221,151.20267"
western Distributor Eastbound,"-33.8721,151.20273"
western Distributor Eastbound,"-33.87201,151.20278"
western Distributor Eastbound,"-33.87142,151.20293"
western Distributor Eastbound,"-33.87115,151.20299"
western Distributor Eastbound,"-33.87041,151.20311"
western Distributor Eastbound,"-33.87033,151.20313"
western Distributor Eastbound,"-33.87028,151.20313"
western Distributor Eastbound,"-33.86996,151.20312"
western Distributor Eastbound,"-33.86973,151.20308"
western Distributor Eastbound,"-33.86919,151.203"
western Distributor Eastbound,"-33.86915,151.20298"
western Distributor Eastbound,"-33.86904,151.20296"
western Distributor Eastbound,"-33.86885,151.20292"
western Distributor Eastbound,"-33.8682,151.20282"
western Distributor Eastbound,"-33.86781,151.20278"
western Distributor Eastbound,"-33.86734,151.20278"
western Distributor Eastbound,"-33.86714,151.20279"
western Distributor Eastbound,"-33.86685,151.20284"
western Distributor Eastbound,"-33.86633,151.20305"
western Distributor Eastbound,"-33.8659,151.20326"
western Distributor Eastbound,"-33.86532,151.20354"
western Distributor Eastbound,"-33.86511,151.20364"
western Distributor Eastbound,"-33.86499,151.2037"
western Distributor Eastbound,"-33.86495,151.20372"
western Distributor Eastbound,"-33.86461,151.20389"
western Distributor Eastbound,"-33.86429,151.20404"
western Distributor Eastbound,"-33.86385,151.20423"
western Distributor Eastbound,"-33.86365,151.20434"
western Distributor Eastbound,"-33.86356,151.20439"
western Distributor Eastbound,"-33.86348,151.20442"
western Distributor Eastbound,"-33.86335,151.20449"
western Distributor Eastbound,"-33.86323,151.20456"
western Distributor Eastbound,"-33.86307,151.20463"
western Distributor Eastbound,"-33.86281,151.20475"
western Distributor Eastbound,"-33.8623,151.20497"
western Distributor Eastbound,"-33.86144,151.20529"
western Distributor Eastbound,"-33.86106,151.20542"
western Distributor Eastbound,"-33.86085,151.2055"
western Distributor Eastbound,"-33.86079,151.20552"
western Distributor Eastbound,"-33.86055,151.2056"
western Distributor Eastbound,"-33.86028,151.2057"
western Distributor Eastbound,"-33.86024,151.20572"
western Distributor Eastbound,"-33.8601,151.20579"
western Distributor Eastbound,"-33.86006,151.20582"
western Distributor Eastbound,"-33.86001,151.20584"
western Distributor Eastbound,"-33.85986,151.20591"
western Distributor Eastbound,"-33.85975,151.20597"
western Distributor Eastbound,"-33.85962,151.20604"
western Distributor Eastbound,"-33.85958,151.20606"
western Distributor Eastbound,"-33.85944,151.20619"
western Distributor Eastbound,"-33.85901,151.20644"
western Distributor Eastbound,"-33.85896,151.20647"
western Distributor Eastbound,"-33.85887,151.20652"
western Distributor Eastbound,"-33.8588,151.20656"
western Distributor Eastbound,"-33.85878,151.20657"
western Distributor Westbound,"-33.86038,151.20601"
western Distributor Westbound,"-33.8605,151.20599"
western Distributor Westbound,"-33.86068,151.20594"
western Distributor Westbound,"-33.86083,151.2059"
western Distributor Westbound,"-33.86098,151.20585"
western Distributor Westbound,"-33.86104,151.20584"
western Distributor Westbound,"-33.86109,151.20582"
western Distributor Westbound,"-33.86118,151.20578"
western Distributor Westbound,"-33.86122,151.20577"
western Distributor Westbound,"-33.86209,151.20546"
western Distributor Westbound,"-33.86226,151.20538"
western Distributor Westbound,"-33.86241,151.2053"
western Distributor Westbound,"-33.86279,151.20509"
western Distributor Westbound,"-33.86292,151.20502"
western Distributor Westbound,"-33.86302,151.20496"
western Distributor Westbound,"-33.86318,151.20487"
western Distributor Westbound,"-33.86329,151.2048"
western Distributor Westbound,"-33.86341,151.20471"
western Distributor Westbound,"-33.86356,151.20462"
western Distributor Westbound,"-33.86378,151.20448"
western Distributor Westbound,"-33.86388,151.20442"
western Distributor Westbound,"-33.86396,151.20436"
western Distributor Westbound,"-33.8645,151.20406"
western Distributor Westbound,"-33.86495,151.20383"
western Distributor Westbound,"-33.86504,151.20379"
western Distributor Westbound,"-33.86515,151.20374"
western Distributor Westbound,"-33.86527,151.20368"
western Distributor Westbound,"-33.86609,151.20329"
western Distributor Westbound,"-33.86665,151.20303"
western Distributor Westbound,"-33.86685,151.20296"
western Distributor Westbound,"-33.86716,151.2029"
western Distributor Westbound,"-33.86748,151.20288"
western Distributor Westbound,"-33.86777,151.20289"
western Distributor Westbound,"-33.86797,151.20292"
western Distributor Westbound,"-33.86837,151.20297"
western Distributor Westbound,"-33.86883,151.20306"
western Distributor Westbound,"-33.86895,151.20309"
western Distributor Westbound,"-33.86903,151.20311"
western Distributor Westbound,"-33.86926,151.20315"
western Distributor Westbound,"-33.86974,151.20321"
western Distributor Westbound,"-33.87026,151.20325"
western Distributor Westbound,"-33.87036,151.20325"
western Distributor Westbound,"-33.8704,151.20326"
western Distributor Westbound,"-33.87043,151.20326"
western Distributor Westbound,"-33.87046,151.20328"
western Distributor Westbound,"-33.87048,151.20329"
western Distributor Westbound,"-33.8705,151.20329"
western Distributor Westbound,"-33.87087,151.20329"
western Distributor Westbound,"-33.87103,151.2033"
western Distributor Westbound,"-33.87111,151.20331"
western Distributor Westbound,"-33.87119,151.2033"
western Distributor Westbound,"-33.87129,151.20329"
western Distributor Westbound,"-33.87137,151.20329"
western Distributor Westbound,"-33.87145,151.20331"
western Distributor Westbound,"-33.87151,151.20332"
western Distributor Westbound,"-33.87171,151.20337"
western Distributor Westbound,"-33.8719,151.20343"
western Distributor Westbound,"-33.87195,151.20344"
western Distributor Westbound,"-33.87215,151.20347"
western Distributor Westbound,"-33.87224,151.20348"
western Distributor Westbound,"-33.87233,151.20347"
western Distributor Westbound,"-33.87238,151.20345"
western Distributor Westbound,"-33.87246,151.20343"
western Distributor Westbound,"-33.87274,151.2033"
western Distributor Westbound,"-33.87284,151.20325"
western Distributor Westbound,"-33.87289,151.20323"
western Distributor Westbound,"-33.87305,151.20318"
western Distributor Westbound,"-33.87323,151.20309"
western Distributor Westbound,"-33.87328,151.20305"
western Distributor Westbound,"-33.87335,151.20299"
western Distributor Westbound,"-33.87342,151.20294"
western Distributor Westbound,"-33.87348,151.2029"
western Distributor Westbound,"-33.87352,151.20287"
western Distributor Westbound,"-33.87361,151.20279"
western Distributor Westbound,"-33.87374,151.20271"
western Distributor Westbound,"-33.87378,151.20267"
western Distributor Westbound,"-33.87386,151.20258"
western Distributor Westbound,"-33.8739,151.20252"
western Distributor Westbound,"-33.87397,151.2024"
western Distributor Westbound,"-33.87404,151.20222"
western Distributor Westbound,"-33.87409,151.20208"
western Distributor Westbound,"-33.8742,151.20173"
western Distributor Westbound,"-33.87429,151.20138"
western Distributor Westbound,"-33.8743,151.20133"
western Distributor Westbound,"-33.87435,151.20108"
western Distributor Westbound,"-33.87438,151.20086"
western Distributor Westbound,"-33.87439,151.20078"
western Distributor Westbound,"-33.8744,151.20065"
western Distributor Westbound,"-33.87446,151.19999"
western Distributor Westbound,"-33.87447,151.19983"
western Distributor Westbound,"-33.87453,151.19927"
western Distributor Westbound,"-33.87459,151.19884"
western Distributor Westbound,"-33.87463,151.19865"
western Distributor Westbound,"-33.87464,151.19859"
western Distributor Westbound,"-33.87465,151.1985"
western Distributor Westbound,"-33.87467,151.19837"
western Distributor Westbound,"-33.8747,151.19823"
western Distributor Westbound,"-33.87475,151.19806"
western Distributor Westbound,"-33.87477,151.198"
western Distributor Westbound,"-33.8748,151.1979"
western Distributor Westbound,"-33.87498,151.19714"
western Distributor Westbound,"-33.87503,151.19696"
western Distributor Westbound,"-33.87504,151.19687"
western Distributor Westbound,"-33.87505,151.19672"
western Distributor Westbound,"-33.87506,151.19661"
western Distributor Westbound,"-33.87505,151.19639"
western Distributor Westbound,"-33.87502,151.19623"
western Distributor Westbound,"-33.87498,151.19603"
western Distributor Westbound,"-33.87488,151.19575"
western Distributor Westbound,"-33.87477,151.19555"
western Distributor Westbound,"-33.87453,151.19523"
western Distributor Westbound,"-33.87443,151.19512"
western Distributor Westbound,"-33.87433,151.19503"
western Distributor Westbound,"-33.87419,151.19492"
western Distributor Westbound,"-33.87375,151.19459"
western Distributor Westbound,"-33.87364,151.19451"
western Distributor Westbound,"-33.87345,151.19438"
western Distributor Westbound,"-33.87301,151.19406"
western Distributor Westbound,"-33.87272,151.19385"
western Distributor Westbound,"-33.87268,151.19381"
western Distributor Westbound,"-33.87262,151.19376"
western Distributor Westbound,"-33.8725,151.19367"
western Distributor Westbound,"-33.87243,151.19362"
western Distributor Westbound,"-33.8719,151.19321"
western Distributor Westbound,"-33.87176,151.1931"
western Distributor Westbound,"-33.87167,151.19301"
western Distributor Westbound,"-33.87162,151.19295"
western Distributor Westbound,"-33.87143,151.19272"
western Distributor Westbound,"-33.8714,151.19267"
western Distributor Westbound,"-33.87126,151.1924"
western Distributor Westbound,"-33.87117,151.19219"
western Distributor Westbound,"-33.8711,151.19194"
western Distributor Westbound,"-33.87108,151.19187"
western Distributor Westbound,"-33.87106,151.19175"
western Distributor Westbound,"-33.87103,151.19161"
western Distributor Westbound,"-33.87095,151.191"
western Distributor Westbound,"-33.87091,151.19079"
western Distributor Westbound,"-33.87084,151.19056"
western Distributor Westbound,"-33.87077,151.19038"
western Distributor Westbound,"-33.8707,151.19022"
Cahill Expressway Northbound,"-33.86149,151.21247"
Cahill Expressway Northbound,"-33.8615,151.21259"
Cahill Expressway Northbound,"-33.86152,151.21271"
Cahill Expressway Northbound,"-33.86154,151.21291"
Cahill Expressway Northbound,"-33.86159,151.21311"
Cahill Expressway Northbound,"-33.8616,151.21318"
Cahill Expressway Northbound,"-33.86161,151.21324"
Cahill Expressway Northbound,"-33.86161,151.21329"
Cahill Expressway Northbound,"-33.86169,151.21354"
Cahill Expressway Northbound,"-33.86171,151.21359"
Cahill Expressway Northbound,"-33.86176,151.2137"
Cahill Expressway Northbound,"-33.86182,151.21378"
Cahill Expressway Northbound,"-33.86186,151.21382"
Cahill Expressway Northbound,"-33.86197,151.21391"
Cahill Expressway Northbound,"-33.86202,151.21393"
Cahill Expressway Northbound,"-33.86217,151.21396"
Cahill Expressway Northbound,"-33.86231,151.21397"
Cahill Expressway Northbound,"-33.86239,151.21396"
Cahill Expressway Northbound,"-33.86248,151.21394"
Cahill Expressway Northbound,"-33.86274,151.21385"
Cahill Expressway Northbound,"-33.8629,151.21379"
Cahill Expressway Northbound,"-33.86305,151.2137"
Cahill Expressway Northbound,"-33.86312,151.21366"
Cahill Expressway Northbound,"-33.86318,151.21361"
Cahill Expressway Northbound,"-33.86323,151.21354"
Cahill Expressway Northbound,"-33.86327,151.21347"
Cahill Expressway Northbound,"-33.86329,151.21337"
Cahill Expressway Northbound,"-33.8633,151.21332"
Cahill Expressway Northbound,"-33.8633,151.21326"
Cahill Expressway Northbound,"-33.86325,151.21329"
Cahill Expressway Northbound,"-33.86312,151.21331"
Cahill Expressway Northbound,"-33.86298,151.21336"
Cahill Expressway Northbound,"-33.86288,151.21341"
Cahill Expressway Northbound,"-33.86275,151.21347"
Cahill Expressway Northbound,"-33.86265,151.21349"
Cahill Expressway Northbound,"-33.86239,151.21354"
Cahill Expressway Northbound,"-33.86219,151.21354"
Cahill Expressway Northbound,"-33.86206,151.21351"
Cahill Expressway Northbound,"-33.86199,151.21347"
Cahill Expressway Northbound,"-33.86193,151.21343"
Cahill Expressway Northbound,"-33.86186,151.21337"
Cahill Expressway Northbound,"-33.86181,151.21332"
Cahill Expressway Northbound,"-33.86177,151.21326"
Cahill Expressway Northbound,"-33.86172,151.21317"
Cahill Expressway Northbound,"-33.86169,151.21309"
Cahill Expressway Northbound,"-33.86163,151.21279"
Cahill Expressway Northbound,"-33.86159,151.21256"
Cahill Expressway Northbound,"-33.86157,151.2125"
Cahill Expressway Northbound,"-33.86156,151.21243"
Cahill Expressway Northbound,"-33.86155,151.21224"
Cahill Expressway Northbound,"-33.86152,151.21194"
Cahill Expressway Northbound,"-33.86148,151.21136"
Cahill Expressway Northbound,"-33.8614,151.21053"
Cahill Expressway Northbound,"-33.86137,151.21018"
Cahill Expressway Northbound,"-33.8613,151.20927"
Cahill Expressway Northbound,"-33.86127,151.20898"
Cahill Expressway Northbound,"-33.86124,151.20876"
Cahill Expressway Northbound,"-33.86121,151.20847"
Cahill Expressway Northbound,"-33.86119,151.20833"
Cahill Expressway Northbound,"-33.86113,151.2077"
Cahill Expressway Northbound,"-33.8611,151.20747"
Cahill Expressway Northbound,"-33.86108,151.20729"
Cahill Expressway Northbound,"-33.86107,151.20701"
Cahill Expressway Northbound,"-33.86106,151.20674"
Cahill Expressway Northbound,"-33.86105,151.20641"
Cahill Expressway Northbound,"-33.86104,151.20633"
Cahill Expressway Northbound,"-33.86103,151.20625"
Cahill Expressway Northbound,"-33.86101,151.20619"
Cahill Expressway Northbound,"-33.86099,151.20613"
Cahill Expressway Northbound,"-33.86098,151.20611"
Cahill Expressway Northbound,"-33.86094,151.20603"
Cahill Expressway Northbound,"-33.86086,151.20596"
Cahill Expressway Northbound,"-33.86083,151.2059"
Cahill Expressway Northbound,"-33.86071,151.20576"
Cahill Expressway Northbound,"-33.86064,151.2057"
Cahill Expressway Northbound,"-33.86059,151.20565"
Cahill Expressway Northbound,"-33.86055,151.2056"
Cahill Expressway Northbound,"-33.86053,151.20557"
Cahill Expressway Northbound,"-33.86048,151.20551"
Cahill Expressway Northbound,"-33.86044,151.20544"
Cahill Expressway Northbound,"-33.86037,151.20533"
Cahill Expressway Northbound,"-33.86027,151.20517"
Cahill Expressway Northbound,"-33.86024,151.2051"
Cahill Expressway Northbound,"-33.86021,151.20501"
Cahill Expressway Northbound,"-33.8602,151.20495"
Cahill Expressway Northbound,"-33.86019,151.20489"
Cahill Expressway Northbound,"-33.86019,151.20484"
Cahill Expressway Northbound,"-33.86019,151.20476"
Cahill Expressway Northbound,"-33.86019,151.2047"
Cahill Expressway Northbound,"-33.86021,151.20463"
Cahill Expressway Northbound,"-33.86023,151.20458"
Cahill Expressway Northbound,"-33.86024,151.20454"
Cahill Expressway Northbound,"-33.86029,151.20447"
Cahill Expressway Northbound,"-33.86033,151.20442"
Cahill Expressway Northbound,"-33.86037,151.20439"
Cahill Expressway Northbound,"-33.86039,151.20437"
Cahill Expressway Northbound,"-33.86041,151.20436"
Cahill Expressway Northbound,"-33.8605,151.20432"
Cahill Expressway Northbound,"-33.86057,151.20431"
Cahill Expressway Northbound,"-33.86064,151.2043"
Cahill Expressway Northbound,"-33.86068,151.2043"
Cahill Expressway Northbound,"-33.86073,151.20431"
Cahill Expressway Northbound,"-33.86081,151.20434"
Cahill Expressway Northbound,"-33.86085,151.20436"
Cahill Expressway Northbound,"-33.86095,151.20443"
Cahill Expressway Northbound,"-33.861,151.20448"
Cahill Expressway Northbound,"-33.86104,151.20454"
Cahill Expressway Northbound,"-33.8611,151.20469"
Cahill Expressway Northbound,"-33.86112,151.20478"
Cahill Expressway Northbound,"-33.86112,151.20485"
Cahill Expressway Northbound,"-33.86112,151.20491"
Cahill Expressway Northbound,"-33.86108,151.20504"
Cahill Expressway Northbound,"-33.86102,151.20515"
Cahill Expressway Northbound,"-33.86096,151.20524"
Cahill Expressway Northbound,"-33.86092,151.20527"
Cahill Expressway Northbound,"-33.86085,151.20534"
Cahill Expressway Northbound,"-33.86081,151.20537"
Cahill Expressway Northbound,"-33.86076,151.20539"
Cahill Expressway Northbound,"-33.86067,151.20541"
Cahill Expressway Northbound,"-33.86057,151.20542"
Cahill Expressway Northbound,"-33.86044,151.20544"
Cahill Expressway Northbound,"-33.8604,151.20545"
Cahill Expressway southbound,"-33.83807,151.21107"
Cahill Expressway southbound,"-33.8382,151.21106"
Cahill Expressway southbound,"-33.83874,151.21102"
Cahill Expressway southbound,"-33.83916,151.21095"
Cahill Expressway southbound,"-33.83937,151.21092"
Cahill Expressway southbound,"-33.83943,151.21091"
Cahill Expressway southbound,"-33.83997,151.21087"
Cahill Expressway southbound,"-33.84047,151.21085"
Cahill Expressway southbound,"-33.84133,151.21089"
Cahill Expressway southbound,"-33.84165,151.21093"
Cahill Expressway southbound,"-33.84185,151.21098"
Cahill Expressway southbound,"-33.84246,151.21116"
Cahill Expressway southbound,"-33.84326,151.21139"
Cahill Expressway southbound,"-33.8437,151.2116"
Cahill Expressway southbound,"-33.84409,151.21175"
Cahill Expressway southbound,"-33.84421,151.2118"
Cahill Expressway southbound,"-33.84467,151.21195"
Cahill Expressway southbound,"-33.84531,151.2122"
Cahill Expressway southbound,"-33.84573,151.21232"
Cahill Expressway southbound,"-33.84614,151.21244"
Cahill Expressway southbound,"-33.84626,151.21247"
Cahill Expressway southbound,"-33.84637,151.2125"
Cahill Expressway southbound,"-33.84661,151.21256"
Cahill Expressway southbound,"-33.84674,151.21259"
Cahill Expressway southbound,"-33.84687,151.2126"
Cahill Expressway southbound,"-33.84708,151.21265"
Cahill Expressway southbound,"-33.8473,151.21269"
Cahill Expressway southbound,"-33.84739,151.21271"
Cahill Expressway southbound,"-33.84759,151.21274"
Cahill Expressway southbound,"-33.84813,151.21278"
Cahill Expressway southbound,"-33.8485,151.21276"
Cahill Expressway southbound,"-33.84865,151.21274"
Cahill Expressway southbound,"-33.84923,151.2126"
Cahill Expressway southbound,"-33.84953,151.2125"
Cahill Expressway southbound,"-33.84975,151.21241"
Cahill Expressway southbound,"-33.84995,151.21231"
Cahill Expressway southbound,"-33.85034,151.21206"
Cahill Expressway southbound,"-33.85052,151.21194"
Cahill Expressway southbound,"-33.85065,151.21185"
Cahill Expressway southbound,"-33.8511,151.21156"
Cahill Expressway southbound,"-33.85197,151.21102"
Cahill Expressway southbound,"-33.85279,151.21052"
Cahill Expressway southbound,"-33.85285,151.21048"
Cahill Expressway southbound,"-33.85355,151.21005"
Cahill Expressway southbound,"-33.85367,151.20997"
Cahill Expressway southbound,"-33.854,151.20976"
Cahill Expressway southbound,"-33.8541,151.20968"
Cahill Expressway southbound,"-33.85423,151.20961"
Cahill Expressway southbound,"-33.85478,151.20928"
Cahill Expressway southbound,"-33.85514,151.20903"
Cahill Expressway southbound,"-33.85527,151.20892"
Cahill Expressway southbound,"-33.85536,151.20886"
Cahill Expressway southbound,"-33.85574,151.20863"
Cahill Expressway southbound,"-33.85581,151.20858"
Cahill Expressway southbound,"-33.85658,151.20811"
Cahill Expressway southbound,"-33.85683,151.20795"
Cahill Expressway southbound,"-33.85875,151.20675"
Cahill Expressway southbound,"-33.85884,151.2067"
Cahill Expressway southbound,"-33.85891,151.20666"
Cahill Expressway southbound,"-33.85897,151.20664"
Cahill Expressway southbound,"-33.859,151.20662"
Cahill Expressway southbound,"-33.85908,151.20659"
