destination,origin,road
"-33.929359246854816, 150.97957163510276","-33.92585271577399, 150.92555579776302",Newbridge Road Eastbound
"-33.92585271577399, 150.92555579776302","-33.92946723393731, 150.97957075625516",Newbridge Road Westbound
"-33.962882143019606, 150.98961769881635","-33.96142385819155, 151.05797393432712",Henry Lawson Drive Westbound
"-33.88970498781784, 150.97296222213757","-33.962882143019606, 150.98961769881635",Henry Lawson Drive Westbound
"-33.962873852885906, 150.9896261614009","-33.8897111107891, 150.97311913136568",Henry Lawson Drive Eastbound
"-33.96131151271844, 151.05790486744485","-33.962873852885906, 150.9896261614009",Henry Lawson Drive Eastbound
"-32.75046213268248, 151.59521705993225","-32.748470878532096, 151.737042423141",Raymond Terrace Road Westbound
"-32.748376617074314, 151.7369422019048","-32.75043592569609, 151.59523102323135",Raymond Terrace Road Eastbound
"-33.887569528583654, 151.1715590121839","-33.88995225102372, 151.1469231275037",19065 - Parramatta Road(1) Eastbound
"-33.88469289003629, 151.18732154348663","-33.887569528583654, 151.1715590121839",19065 - Parramatta Road(1) Eastbound
"-33.88764383482617, 151.17154230928242","-33.88476153913527, 151.18738219332127",19065 - Parramatta Road(1) Westbound
"-33.89005278711217, 151.14692235168943","-33.88764383482617, 151.17154230928242",19065 - Parramatta Road(1) Westbound
"-33.77657200646003, 150.90162974429148","-33.77650561852549, 150.901615410703",Balmoral Street Southbound
"-33.76689703295416, 150.90513131380703","-33.77653992456537, 150.90160502712857",Balmoral Street Northbound
"-33.886668236849765, 151.14030639408492","-33.88994043421113, 151.14622287073684",25002 - Parramatta Road Westbound
"-33.88986774413527, 151.14636987635075","-33.88658834121589, 151.14035821585972",25002 - Parramatta Road Eastbound
"-33.87094130937838, 151.19193300180643","-33.87443370123327, 151.20033832514446",20001 - Western Distributor Westbound
"-33.86799842482323, 151.1810681383537","-33.87094130937838, 151.19193300180643",20001 - Western Distributor Westbound
"-33.8709372571586, 151.19186369931248","-33.867859821919936, 151.1810744645604",20001 - Western Distributor Eastbound
"-33.873452508915015, 151.2013088296749","-33.8709372571586, 151.19186369931248",20001 - Western Distributor Eastbound
"-33.86225847136393, 151.20498043500837","-33.868924189339296, 151.2029797891977",01004 - Western Distributor Northbound
"-33.858819772943896, 151.20651228878253","-33.86225847136393, 151.20498043500837",01004 - Western Distributor Northbound
"-33.86240849209229, 151.20531023168766","-33.85881142041571, 151.20660482498863",01004 - Western Distributor Southbound
"-33.86912239900373, 151.20319168370605","-33.86240849209229, 151.20531023168766",01004 - Western Distributor Southbound
"-33.89351217536052, 151.18343300070399","-33.89748784919218, 151.17887011961727",02396 - King Street Northbound
"-33.89242193647434, 151.18686782568895","-33.89351217536052, 151.18343300070399",02396 - King Street Northbound
"-33.89351623782149, 151.18349192607215","-33.89244545617923, 151.18688114906607",02396 - King Street Southbound
"-33.897534248517935, 151.1788737134842","-33.89351623782149, 151.18349192607215",02396 - King Street Southbound
"-33.89852048164153, 151.1764205599757","-33.89943090991973, 151.17096574213278",02062 - Enmore Road Northbound
"-33.89752164888965, 151.17882743594419","-33.89852048164153, 151.1764205599757",02062 - Enmore Road Northbound
"-33.89862523483368, 151.17561599774754","-33.89755539263843, 151.1788156930832",02062 - Enmore Road Southbound
"-33.89944973427694, 151.17098163774457","-33.89862523483368, 151.17561599774754",02062 - Enmore Road Southbound
"-33.76719799135968, 150.9500693040683","-33.765751490476056, 150.95814044418717",69087 - Prospect Highway Southbound
"-33.77068341511848, 150.93989880056063","-33.76719799135968, 150.9500693040683",69087 - Prospect Highway Southbound
"-33.7778144636384, 150.9322304167631","-33.77068341511848, 150.93989880056063",69087 - Prospect Highway Southbound
"-33.77056459869756, 150.9398307772932","-33.777796511086414, 150.93209326717934",69087 - Prospect Highway Northbound
"-33.767807095022214, 150.94541462230563","-33.77056459869756, 150.9398307772932",69087 - Prospect Highway Northbound
"-33.76560255218549, 150.95812622419677","-33.767807095022214, 150.94541462230563",69087 - Prospect Highway Northbound
"-33.91779823292803, 151.06531805460844","-33.92908882817954, 151.0720314275395",24008 - King Georges Road Northbound
"-33.92906366107759, 151.07217815789627","-33.917819683165725, 151.06551789297697",24008 - King Georges Road Southbound
