the_geom,station_id,full_name,name,road_name,common_road_name,secondary_name,suburb,post_code,lga,rms_region,distance_to_intersection,intersection,road_number,link_number,mab_identifier,device_type,permanent_station,vehicle_classifier,road_on_type,road_classification_type,road_classification_admin,wgs84_latitude,wgs84_longitude
0101000020E61000005779026127F76240B9FB1C1F2D7640C0,05560,"Lambton Road, East of Bridges Road",Lambton Road,Lambton Road,Lambton Road,East of Bridges Road,Broadmeadow,2292,Newcastle,Hunter,10,Bridges Road,0000223,0020,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Regional,-32.923252,151.723557
0101000020E6100000D4D347E00FF56240EA211ADD417840C0,05568,"Main Road, West of Kelton Street",Main Road,Main Road,Main Road,West of Kelton Street,Cardiff,2285,Lake Macquarie,Hunter,30,Kelton Street,0000223,0130,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Regional,-32.939510,151.658188
0101000020E61000007E7214200AF562405B5B785E2A7840C0,05569,"Main Road, South of Sturt Road",Main Road,Main Road,Main Road,South of Sturt Road,Cardiff,2285,Lake Macquarie,Hunter,60,Sturt Road,0000527,0250,B89,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.938793,151.657486
0101000020E6100000702711E1DFF46240F581E49D437740C0,05570,"Main Road, West of Alfred Street",Main Road,Main Road,Main Road,West of Alfred Street,Glendale,2285,Lake Macquarie,Hunter,90,Alfred Street,0000527,0270,B89,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.931751,151.652329
0101000020E61000004B0169FF83F462409A95ED43DE7640C0,05571,"Main Road, East of Fairleigh Street",Main Road,Main Road,"Main.main Rd, Glendale",East of Fairleigh Street,Glendale,2285,Lake Macquarie,Hunter,70,Fairleigh Street,0000527,0280,B89,Trafficorder Loop Counter,1,0,OnGround,Road,State,-32.928658,151.641113
0101000020E6100000020F0C207CF36240B2B96A9E237640C0,05573,"George Booth Drive, West of Northville Drive",George Booth Drive,George Booth Drive,Main Road,West of Northville Drive,Edgeworth,2285,Lake Macquarie,Hunter,100,Northville Drive,0000527,0312,B89,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.922962,151.608902
0101000020E6100000AB984A3F61F6624089D2DEE00B6940C0,05590,"Tomago Road, North of Old Punt Road",Tomago Road,Tomago Road,Cabbage Tree Road,North of Old Punt Road,Tomago,2322,Port Stephens,Hunter,180,Old Punt Road,0000302,0025,NULL,Trafficorder Tube Axlepair Counter,0,1,OnGround,Road,State,-32.820675,151.699371
0101000020E61000001590F63FC0FA624012DE1E84806840C0,05592,"Cabbage Tree Road, West of Lavis Lane",Cabbage Tree Road,Cabbage Tree Road,Cabbage Tree Road,West of Lavis Lane,Williamtown,2318,Port Stephens,Hunter,680,Lavis Lane,0000302,0010,NULL,Trafficorder Tube Axlepair Counter,0,1,OnGround,Road,State,-32.816422,151.835968
0101000020E61000006BF1290046F86240AA656B7D917640C0,05593,"Stewart Avenue, East of Parry Street",Stewart Avenue,Stewart Avenue,Stewart Avenue,East of Parry Street,Newcastle West,2302,Newcastle,Hunter,50,Parry Street,0000010,1535,A43,Trafficorder Tube Axlepair Counter,0,0,OnGround,Avenue,State,-32.926315,151.758545
0101000020E610000066BB421FACF662405001309E417D40C0,05609,"Dudley Road, South of Bulls Garden Road",Dudley Road,Dudley Road,Dudley Road,South of Bulls Garden Road,Whitebridge,2290,Lake Macquarie,Hunter,110,Bulls Garden Road,0000325,0080,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Regional,-32.978565,151.708511
0101000020E61000007D5D86FFF4F362404A438D42927B40C0,05616,"The Esplanade, West of Albert Street",The Esplanade,The Esplanade,The Esplanade,West of Albert Street,Speers Point,2284,Lake Macquarie,Hunter,100,Albert Street,0000674,0170,B57,Trafficorder Tube Axlepair Counter,0,0,OnGround,,State,-32.965401,151.623657
0101000020E6100000D6E253008CF76240B5FB5580EF7240C0,05622,"Hanbury Street, East of Waratah Street",Hanbury Street,Hanbury Street,Hanbury Street,East of Waratah Street,Mayfield,2304,Newcastle,Hunter,20,Waratah Street,0000326,0130,B63,Trafficorder Tube Axlepair Counter,0,0,OnGround,Street,State,-32.897934,151.735840
0101000020E61000007D5A457FE8F162406EDC627E6EA240C0,05645,"Main Road, East of Brisbane Street",Main Road,Main Road,Noraville Road,East of Brisbane Street,Noraville,2263,Wyong,Hunter,70,Brisbane Street,0000509,0060,B70,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-33.268997,151.559631
0101000020E6100000C991CEC048F86240AC014A438D6040C0,05647,"Richardson Road, East of Adelaide Street",Richardson Road,Richardson Road,Richardson Road,East of Adelaide Street,Raymond Terrace,2324,Port Stephens,Hunter,50,Adelaide Street,0000104,0117,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.754311,151.758881
0101000020E6100000F7C9518028FB6240CC7C073F716240C0,05648,"Richardson Road, West of Medowie Road",Richardson Road,Richardson Road,Richardson Road,West of Medowie Road,Campvale,2318,Port Stephens,Hunter,1100,Medowie Road,0000104,0117,NULL,Trafficorder Tube Axlepair Counter,0,1,OnGround,Road,State,-32.769081,151.848694
0101000020E6100000C77F812040FB624038A11001876640C0,05650,"Medowie Road, South of Townsend Avenue",Medowie Road,Medowie Road,Medowie Road,South of Townsend Avenue,Williamtown,2318,Port Stephens,Hunter,100,Townsend Avenue,0000518,0010,NULL,Trafficorder Tube Axlepair Counter,0,1,OnGround,Road,Regional,-32.800995,151.851578
0101000020E6100000EE96E480DDFA6240177E703E755640C0,05652,"Medowie Road, South of Euwylong Close",Medowie Road,Medowie Road,Medowie Road,South of Euwylong Close,Ferodale,2318,Port Stephens,Hunter,80,Euwylong Close,0000518,0030,NULL,Trafficorder Tube Axlepair Counter,0,1,OnGround,Road,Regional,-32.675453,151.839539
0101000020E6100000C24CDBBFB2F462408D96033DD47C40C0,05657,"King Street, East of John Street",King Street,King Street,King Street,East of John Street,Warners Bay,2282,Lake Macquarie,Hunter,20,John Street,0000527,0200,B89,Trafficorder Tube Axlepair Counter,0,0,OnGround,Street,State,-32.975227,151.646820
